	Acinetobacter_baumannii_1264765_GCA_000681815_1_24_dna_genome	Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	Acinetobacter_baumannii_1295259_GCA_000581095_1_24_dna_genome	SRR387325	Acinetobacter_baumannii_826659_GCA_000588515_1_24_dna_genome	ERR190413	Acinetobacter_calcoaceticus_anc_3811_GCA_000399665_1_24_dna_genome	ERR197603	ERR190463	Acinetobacter_pittii_cip_70_29_GCA_000369045_1_24_dna_genome	Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	Acinetobacter_pittii_42f_GCA_000529235_1_24_dna_genome	Acinetobacter_baumannii_1179249_GCA_000587995_1_24_dna_genome	ERR190426	ERR197559	ERR246890	Acinetobacter_baumannii_1542444_GCA_000581835_1_24_dna_genome	ERR110085	Acinetobacter_baumannii_wc_141_GCA_000313935_1_24_dna_genome	Acinetobacter_pittii_anc_4050_GCA_000399685_1_24_dna_genome	Acinetobacter_baumannii_1289694_GCA_000580855_1_24_dna_genome	Acinetobacter_baumannii_272263_GCA_000581215_1_24_dna_genome	ERR249214	ERR190412	Acinetobacter_baumannii_1578804_GCA_000582075_1_24_dna_genome	Acinetobacter_baumannii_1461402_GCA_000580635_1_24_dna_genome	Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	ERR110074	ERR246919	Acinetobacter_baumannii_869535_GCA_000581035_1_24_dna_genome	ERR197641	ERR356249	Acinetobacter_baumannii_1294243_GCA_000588015_1_24_dna_genome	ERR246818
Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	0.902329544599	0.963201089462	0.901764383535	0.876011147601	0.901972513077	0.874746570296	0.923203342366	0.875133086223	0.878035800231	0.903986848412	1.0	0.901771544653	0.87401302497	0.874614611151	0.914985641241	0.875664694987	0.902303677801	0.906418422342	0.918095909529	0.900175149014	0.901469787861	0.8384007661	0.874039521479	0.874183517766	0.901451166981	0.837358749297	0.964510176744	0.875778722884	0.875513338503	0.838807165147	0.916780131801	0.901587200208	0.902147733411	0.875760192101
Acinetobacter_pittii_42f_GCA_000529235_1_24_dna_genome	0.970158384614	0.900899839407	0.96595367257	0.888833389447	0.962879958217	0.886520817355	0.908027689242	0.892664247581	0.889123263983	0.975936875514	0.901771544653	1.0	0.886474606861	0.888972532156	0.92640291767	0.889574289746	0.965033552431	0.914092563703	0.91194377371	0.926797434166	0.98648538347	0.852903087835	0.892356927867	0.886545941504	0.969142226086	0.858401149146	0.901181873347	0.888941624921	0.889720349335	0.857156217586	0.936123748863	0.950801634706	0.969479148463	0.889920357828
Acinetobacter_baumannii_1179249_GCA_000587995_1_24_dna_genome	0.890168709838	0.873775859805	0.890966077469	0.920802024449	0.886301236421	0.977663454134	0.87918144083	0.975688781232	0.919773915654	0.890423395434	0.87401302497	0.886474606861	1.0	0.953291970871	0.945884065922	0.920312943606	0.885532368208	0.955652069007	0.880106549675	0.881632274124	0.886679457031	0.85138373498	0.977738180943	0.97734803086	0.888298351323	0.857862315825	0.87432367968	0.920318939343	0.920292377746	0.851915201689	0.944899419575	0.883544309715	0.891591307606	0.920036938999
ERR190426	0.889328140892	0.873570238103	0.888714483782	0.94014894467	0.886161121328	0.968183096344	0.87759679212	0.959532508461	0.909940226161	0.887293855543	0.874614611151	0.888972532156	0.953291970871	1.0	0.960820467102	0.949892910726	0.888847373312	0.936879005549	0.88294174156	0.884677154183	0.892917722732	0.862289981679	0.98236539923	0.984524248847	0.89138460193	0.874216751002	0.875941692329	0.948862229101	0.949612587301	0.870344365908	0.964363091265	0.887405391302	0.890835060254	0.943931065069
ERR197559	0.926575311374	0.915365210191	0.930936492677	0.975624139965	0.925833431848	0.943311863539	0.914266769413	0.941584475984	0.928404936285	0.926098310292	0.914985641241	0.92640291767	0.945884065922	0.960820467102	1.0	0.976206095062	0.92299079373	0.922933275874	0.923144596037	0.921164760766	0.930746722846	0.898500893962	0.942127378127	0.943075816826	0.938757129991	0.884781282677	0.912359395487	0.975073253944	0.975705271728	0.897545549287	0.846858023169	0.920572430242	0.918374889342	0.975655356535
ERR246890	0.889303988061	0.874683866287	0.889742635651	0.979118584214	0.889162432934	0.918235708611	0.878058629815	0.917812505891	0.902327257279	0.888648803751	0.875664694987	0.889574289746	0.920312943606	0.949892910726	0.976206095062	1.0	0.889815154116	0.951168449047	0.880422217621	0.884813124813	0.891401131236	0.84592881377	0.918038308758	0.917912574787	0.888924529151	0.851044547919	0.875110895075	0.997219462041	0.997951044271	0.848491373666	0.976931932007	0.88761589719	0.888776353033	0.979466539643
Acinetobacter_baumannii_1542444_GCA_000581835_1_24_dna_genome	0.963734568336	0.901302446641	0.966393424162	0.890000670379	0.962962318711	0.885760040468	0.908366566642	0.885788919618	0.888175006054	0.965984951152	0.902303677801	0.965033552431	0.885532368208	0.888847373312	0.92299079373	0.889815154116	1.0	0.919681895951	0.910925711118	0.927328560864	0.964619244242	0.853222225797	0.885575341857	0.885583826887	0.964124355798	0.861944422988	0.901815491729	0.889868136152	0.889660153877	0.855549506377	0.91493215116	0.949544775826	0.964926939459	0.889771030892
ERR110085	0.944771345558	0.897373379142	0.942540358987	0.949324603608	0.922112462006	0.928619505957	0.941243459526	0.923152858987	0.922269975507	0.942176487172	0.906418422342	0.914092563703	0.955652069007	0.936879005549	0.922933275874	0.951168449047	0.919681895951	1.0	0.928062015504	0.902518769678	0.925304545905	0.936648671839	0.919105907398	0.919396217409	0.919128404669	0.934010246167	0.906429721647	0.937679385447	0.946818524096	0.941156647743	0.912682734097	0.912888169175	0.935240311421	0.975482524778
Acinetobacter_baumannii_wc_141_GCA_000313935_1_24_dna_genome	0.910604469822	0.917990052645	0.912940752428	0.881056802965	0.910346804595	0.880941273094	0.9282372789	0.879501683093	0.884659893135	0.910572346713	0.918095909529	0.91194377371	0.880106549675	0.88294174156	0.923144596037	0.880422217621	0.910925711118	0.928062015504	1.0	0.90982366167	0.91336518341	0.854578467494	0.87891484727	0.879977240888	0.911155264292	0.86593746466	0.918278589952	0.880768227978	0.880108647715	0.864453243183	0.916447848286	0.909459466598	0.911674825164	0.880427314083
Acinetobacter_pittii_anc_4050_GCA_000399685_1_24_dna_genome	0.926477853687	0.89940973621	0.926691896405	0.884109304599	0.92720671512	0.881520425947	0.907431487509	0.881424441337	0.88420331003	0.927143168283	0.900175149014	0.926797434166	0.881632274124	0.884677154183	0.921164760766	0.884813124813	0.927328560864	0.902518769678	0.90982366167	1.0	0.92580649721	0.839623828604	0.881811748054	0.881479273783	0.925524611988	0.838691057484	0.899908995911	0.883738068073	0.884596006576	0.840545188119	0.924840537044	0.923830482944	0.925850790284	0.885377129903
Acinetobacter_baumannii_1289694_GCA_000580855_1_24_dna_genome	0.968213728239	0.900618517554	0.965969680905	0.889980912884	0.962787483098	0.88728941656	0.907523989748	0.887378934928	0.889326079803	0.975015037396	0.901469787861	0.98648538347	0.886679457031	0.892917722732	0.930746722846	0.891401131236	0.964619244242	0.925304545905	0.91336518341	0.92580649721	1.0	0.858636172107	0.886716795124	0.886869706862	0.968354321781	0.869823742846	0.901194276127	0.889449306726	0.890256615735	0.868704497603	0.922815224325	0.950468002711	0.969668272912	0.890764676206
Acinetobacter_baumannii_272263_GCA_000581215_1_24_dna_genome	0.84788290963	0.837716561652	0.851062759718	0.848090471766	0.841646864554	0.846848448117	0.837773717391	0.846955032935	0.855897247627	0.840818173472	0.8384007661	0.852903087835	0.85138373498	0.862289981679	0.898500893962	0.84592881377	0.853222225797	0.936648671839	0.854578467494	0.839623828604	0.858636172107	1.0	0.844627757436	0.843727737059	0.851128464724	0.985745810456	0.839089611065	0.84791648208	0.843657990631	0.986155953216	0.896216444726	0.840596178247	0.861173578004	0.846125640094
ERR249214	0.88549190785	0.873221271057	0.885687455411	0.917431136618	0.884515779429	0.99822156205	0.877470655107	0.988744511544	0.918832776065	0.886290185887	0.874039521479	0.892356927867	0.977738180943	0.98236539923	0.942127378127	0.918038308758	0.885575341857	0.919105907398	0.87891484727	0.881811748054	0.886716795124	0.844627757436	1.0	0.99818015902	0.88689698717	0.857229191123	0.873665572541	0.91756834531	0.918391854597	0.858670692631	0.944149950423	0.884310792235	0.886233763214	0.918367433206
ERR190412	0.886295514072	0.873236439542	0.88628114909	0.917912928898	0.884637250315	0.998945420587	0.877630560865	0.988044960206	0.918816324687	0.886356495492	0.874183517766	0.886545941504	0.97734803086	0.984524248847	0.943075816826	0.917912574787	0.885583826887	0.919396217409	0.879977240888	0.881479273783	0.886869706862	0.843727737059	0.99818015902	1.0	0.886776217787	0.858487843022	0.873602524737	0.91773723386	0.917985345202	0.855201410328	0.948983957219	0.884383709932	0.886963698753	0.917983530825
Acinetobacter_baumannii_1578804_GCA_000582075_1_24_dna_genome	0.989491203201	0.900626688433	0.965650123196	0.889025655315	0.961883848248	0.886796699175	0.907663298824	0.887803908597	0.88877424611	0.969782716625	0.901451166981	0.969142226086	0.888298351323	0.89138460193	0.938757129991	0.888924529151	0.964124355798	0.919128404669	0.911155264292	0.925524611988	0.968354321781	0.851128464724	0.88689698717	0.886776217787	1.0	0.864575946347	0.900933664595	0.889890641021	0.888482488585	0.862227933107	0.921696079752	0.951692119978	0.982996183702	0.888905859955
Acinetobacter_baumannii_1461402_GCA_000580635_1_24_dna_genome	0.848517141505	0.838788689184	0.874599602312	0.853397463357	0.843273549202	0.857488324209	0.83871428757	0.860003455195	0.858746231615	0.84443246243	0.837358749297	0.858401149146	0.857862315825	0.874216751002	0.884781282677	0.851044547919	0.861944422988	0.934010246167	0.86593746466	0.838691057484	0.869823742846	0.985745810456	0.857229191123	0.858487843022	0.864575946347	1.0	0.836531858639	0.843162018176	0.839727736524	0.994159674415	0.884577763287	0.837945039779	0.848167492496	0.841560478465
Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	0.901674370273	0.969754830469	0.901102845179	0.874851120471	0.901815820497	0.873586361673	0.923174945157	0.873872215445	0.87668212918	0.902145918435	0.964510176744	0.901181873347	0.87432367968	0.875941692329	0.912359395487	0.875110895075	0.901815491729	0.906429721647	0.918278589952	0.899908995911	0.901194276127	0.839089611065	0.873665572541	0.873602524737	0.900933664595	0.836531858639	1.0	0.874849438538	0.874588450285	0.8385583468	0.918563796506	0.901142740202	0.901501055872	0.875196452388
ERR110074	0.891032493419	0.874642055819	0.891344416611	0.978299788193	0.88922954789	0.91778893899	0.878211626416	0.917313511091	0.90241930139	0.888869238763	0.875778722884	0.888941624921	0.920318939343	0.948862229101	0.975073253944	0.997219462041	0.889868136152	0.937679385447	0.880768227978	0.883738068073	0.889449306726	0.84791648208	0.91756834531	0.91773723386	0.889890641021	0.843162018176	0.874849438538	1.0	0.996776881283	0.850258344008	0.973882817148	0.887578855761	0.889060082492	0.978369362954
ERR246919	0.88960855958	0.874584804	0.890017077356	0.978787399398	0.889178025059	0.918136127961	0.877945960697	0.9177335438	0.902324639195	0.888671470846	0.875513338503	0.889720349335	0.920292377746	0.949612587301	0.975705271728	0.997951044271	0.889660153877	0.946818524096	0.880108647715	0.884596006576	0.890256615735	0.843657990631	0.918391854597	0.917985345202	0.888482488585	0.839727736524	0.874588450285	0.996776881283	1.0	0.848489386826	0.975993986752	0.887598911801	0.888678156154	0.979097192677
Acinetobacter_baumannii_869535_GCA_000581035_1_24_dna_genome	0.845621445879	0.84049667241	0.863418435444	0.850392672815	0.845200191504	0.854867359959	0.839009762219	0.862831617084	0.853440940764	0.843695012759	0.838807165147	0.857156217586	0.851915201689	0.870344365908	0.897545549287	0.848491373666	0.855549506377	0.941156647743	0.864453243183	0.840545188119	0.868704497603	0.986155953216	0.858670692631	0.855201410328	0.862227933107	0.994159674415	0.8385583468	0.850258344008	0.848489386826	1.0	0.90518783542	0.840286775503	0.858831993918	0.845796548358
ERR197641	0.92491717524	0.914657360406	0.925597060625	0.972900147599	0.927524269937	0.948806437193	0.916441409399	0.947752209954	0.922659939888	0.927824647802	0.916780131801	0.936123748863	0.944899419575	0.964363091265	0.846858023169	0.976931932007	0.91493215116	0.912682734097	0.916447848286	0.924840537044	0.922815224325	0.896216444726	0.944149950423	0.948983957219	0.921696079752	0.884577763287	0.918563796506	0.973882817148	0.975993986752	0.90518783542	1.0	0.916562592923	0.902419735272	0.970554378254
ERR356249	0.953297688372	0.90067420112	0.948706023329	0.887701063734	0.952785839206	0.884383616268	0.906908259532	0.884551731665	0.887347985716	0.950549932067	0.901587200208	0.950801634706	0.883544309715	0.887405391302	0.920572430242	0.88761589719	0.949544775826	0.912888169175	0.909459466598	0.923830482944	0.950468002711	0.840596178247	0.884310792235	0.884383709932	0.951692119978	0.837945039779	0.901142740202	0.887578855761	0.887598911801	0.840286775503	0.916562592923	1.0	0.952516959156	0.887729325368
Acinetobacter_baumannii_1294243_GCA_000588015_1_24_dna_genome	0.987691801539	0.901147202698	0.964621341978	0.889271586797	0.963526243279	0.886899676976	0.909198245308	0.886592879647	0.890575523235	0.970390702518	0.902147733411	0.969479148463	0.891591307606	0.890835060254	0.918374889342	0.888776353033	0.964926939459	0.935240311421	0.911674825164	0.925850790284	0.969668272912	0.861173578004	0.886233763214	0.886963698753	0.982996183702	0.848167492496	0.901501055872	0.889060082492	0.888678156154	0.858831993918	0.902419735272	0.952516959156	1.0	0.88828396941
ERR246818	0.889482919784	0.874711507774	0.89024822138	0.978314689365	0.888983422255	0.91799268577	0.878094788162	0.917949571336	0.901682768473	0.889439438358	0.875760192101	0.889920357828	0.920036938999	0.943931065069	0.975655356535	0.979466539643	0.889771030892	0.975482524778	0.880427314083	0.885377129903	0.890764676206	0.846125640094	0.918367433206	0.917983530825	0.888905859955	0.841560478465	0.875196452388	0.978369362954	0.979097192677	0.845796548358	0.970554378254	0.887729325368	0.88828396941	1.0
